Date,Source,Open,High,Low,Close,Adj Close,Volume,Stock
3/10/2017,yahoo,857,857.349976,851.719971,852.460022,852.460022,2436400,amazon
3/13/2017,yahoo,851.77002,855.690002,851.710022,854.590027,854.590027,1909700,amazon
3/14/2017,yahoo,853.549988,853.75,847.549988,852.530029,852.530029,2130600,amazon
3/15/2017,yahoo,854.330017,854.450012,847.109985,852.969971,852.969971,2562200,amazon
3/16/2017,yahoo,855.299988,855.5,850.51001,853.419983,853.419983,1842300,amazon
3/17/2017,yahoo,853.48999,853.830017,850.640015,852.309998,852.309998,3384400,amazon
3/20/2017,yahoo,851.51001,857.799988,851.01001,856.969971,856.969971,2282700,amazon
3/21/2017,yahoo,858.840027,862.799988,841.309998,843.200012,843.200012,4382900,amazon
3/22/2017,yahoo,840.429993,849.369995,839.049988,848.059998,848.059998,2658700,amazon
3/23/2017,yahoo,848.200012,850.890015,844.799988,847.380005,847.380005,1953000,amazon
3/24/2017,yahoo,851.679993,851.799988,843.530029,845.609985,845.609985,2138300,amazon
3/27/2017,yahoo,838.070007,850.299988,833.5,846.820007,846.820007,2755800,amazon
3/28/2017,yahoo,851.75,858.460022,850.099976,856,856,3041600,amazon
3/29/2017,yahoo,859.049988,876.440002,859.02002,874.320007,874.320007,4485800,amazon
3/30/2017,yahoo,874.950012,877.059998,871.659973,876.340027,876.340027,2762700,amazon
3/31/2017,yahoo,877,890.349976,876.650024,886.539978,886.539978,3957600,amazon
4/3/2017,yahoo,888,893.48999,885.419983,891.51001,891.51001,3422300,amazon
4/4/2017,yahoo,891.5,908.539978,890.280029,906.830017,906.830017,4984700,amazon
4/5/2017,yahoo,910.820007,923.719971,905.619995,909.280029,909.280029,7508400,amazon
4/6/2017,yahoo,913.799988,917.190002,894.48999,898.280029,898.280029,6344100,amazon
4/7/2017,yahoo,899.650024,900.090027,889.309998,894.880005,894.880005,3710900,amazon
4/10/2017,yahoo,899.630005,908.51001,899,907.039978,907.039978,3184300,amazon
4/11/2017,yahoo,907.039978,911.23999,897.5,902.359985,902.359985,3012700,amazon
4/12/2017,yahoo,903.090027,904.090027,895.25,896.22998,896.22998,2456100,amazon
4/13/2017,yahoo,891.450012,894.969971,884.48999,884.669983,884.669983,3174600,amazon
4/17/2017,yahoo,887.5,902.380005,887.5,901.98999,901.98999,2854700,amazon
4/18/2017,yahoo,900.98999,909.609985,900.780029,903.780029,903.780029,2999200,amazon
4/19/2017,yahoo,907.840027,910.5,897.369995,899.200012,899.200012,2870200,amazon
4/20/2017,yahoo,899.700012,905.320007,896.289978,902.059998,902.059998,2814400,amazon
4/21/2017,yahoo,902.669983,903.650024,896.77002,898.530029,898.530029,2420500,amazon
4/24/2017,yahoo,908.679993,909.98999,903.820007,907.409973,907.409973,3122900,amazon
4/25/2017,yahoo,907.039978,909.47998,903,907.619995,907.619995,3380600,amazon
4/26/2017,yahoo,910.299988,915.75,907.559998,909.289978,909.289978,2608900,amazon
4/27/2017,yahoo,914.390015,921.859985,912.109985,918.380005,918.380005,5305500,amazon
4/28/2017,yahoo,948.830017,949.590027,924.330017,924.98999,924.98999,7364700,amazon
5/1/2017,yahoo,927.799988,954.400024,927.799988,948.22998,948.22998,5466500,amazon
5/2/2017,yahoo,946.650024,950.099976,941.409973,946.940002,946.940002,3848800,amazon
5/3/2017,yahoo,946,946,935.900024,941.030029,941.030029,3582700,amazon
5/4/2017,yahoo,944.75,945,934.219971,937.530029,937.530029,2418400,amazon
5/5/2017,yahoo,940.52002,940.789978,930.299988,934.150024,934.150024,2866400,amazon
5/8/2017,yahoo,940.950012,949.049988,939.210022,949.039978,949.039978,3415700,amazon
5/9/2017,yahoo,952.799988,957.890015,950.200012,952.820007,952.820007,3262100,amazon
5/10/2017,yahoo,953.5,953.75,945,948.950012,948.950012,2096500,amazon
5/11/2017,yahoo,945.109985,950.289978,940.780029,947.619995,947.619995,2194100,amazon
5/12/2017,yahoo,954.5,962.789978,951.530029,961.349976,961.349976,3625900,amazon
5/15/2017,yahoo,958.72998,963.150024,956.059998,957.969971,957.969971,4270600,amazon
5/16/2017,yahoo,961,970.059998,960.909973,966.070007,966.070007,3126100,amazon
5/17/2017,yahoo,954.700012,960.400024,944.119995,944.76001,944.76001,5145600,amazon
5/18/2017,yahoo,944.799988,962.75,944.76001,958.48999,958.48999,3939300,amazon
5/19/2017,yahoo,962.840027,968.919983,959.719971,959.840027,959.840027,3972100,amazon
5/22/2017,yahoo,964,971.380005,962.900024,970.669983,970.669983,2642200,amazon
5/23/2017,yahoo,975.02002,975.200012,966.849976,971.539978,971.539978,2415600,amazon
5/24/2017,yahoo,976,981,970.22998,980.349976,980.349976,2446000,amazon
5/25/2017,yahoo,984.849976,999,982.109985,993.380005,993.380005,4822000,amazon
5/26/2017,yahoo,995,998.650024,989.25,995.780029,995.780029,3469200,amazon
5/30/2017,yahoo,996.51001,1001.200012,995.52002,996.700012,996.700012,3263100,amazon
5/31/2017,yahoo,1000,1000.119995,982.159973,994.619995,994.619995,3913100,amazon
6/1/2017,yahoo,998.590027,998.98999,991.369995,995.950012,995.950012,2454800,amazon
6/2/2017,yahoo,998.98999,1008.47998,995.669983,1006.72998,1006.72998,3752300,amazon
6/5/2017,yahoo,1007.22998,1013.210022,1003.51001,1011.340027,1011.340027,2719900,amazon
6/6/2017,yahoo,1012,1016.5,1001.25,1003,1003,3346400,amazon
6/7/2017,yahoo,1005.950012,1010.25,1002,1010.070007,1010.070007,2823000,amazon
6/8/2017,yahoo,1012.059998,1013.609985,1006.109985,1010.27002,1010.27002,2767900,amazon
6/9/2017,yahoo,1012.5,1012.98999,927,978.309998,978.309998,7647700,amazon
6/12/2017,yahoo,967,975.950012,945,964.909973,964.909973,9447200,amazon
6/13/2017,yahoo,977.98999,984.5,966.099976,980.789978,980.789978,4580000,amazon
